ArrayConfig,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS,ArrayType
WD_4Drive_Single,write,1m,1,6,18100.0,18.1,18100,4Drive_Single
WD_4Drive_Single,write,1m,8,6,26200.0,26.2,26200,4Drive_Single
WD_4Drive_Single,write,1m,32,6,25200.0,25.2,25200,4Drive_Single
WD_4Drive_Single,write,1m,128,6,23100.0,23.1,23100,4Drive_Single
WD_4Drive_Single,write,16m,1,6,24400.0,24.4,1525,4Drive_Single
WD_4Drive_Single,write,16m,8,6,23400.0,23.4,1462,4Drive_Single
WD_4Drive_Single,write,16m,32,6,22800.0,22.8,1425,4Drive_Single
WD_4Drive_Single,write,16m,128,6,23300.0,23.3,1456,4Drive_Single
WD_4Drive_Single,write,64m,1,6,23200.0,23.2,362,4Drive_Single
WD_4Drive_Single,write,64m,8,6,22000.0,22.0,343,4Drive_Single
WD_4Drive_Single,write,64m,32,6,23000.0,23.0,359,4Drive_Single
WD_4Drive_Single,write,64m,128,6,24100.0,24.1,376,4Drive_Single
SKHynix_4Drive_Single,read,4k,1,6,1013.612281000,1.013612281,259501,4Drive_Single
SKHynix_4Drive_Single,read,4k,8,6,2793.876226000,2.793876226,715278,4Drive_Single
SKHynix_4Drive_Single,read,4k,32,6,3609.920012000,3.609920012,924198,4Drive_Single
SKHynix_4Drive_Single,read,4k,128,6,3655.017168000,3.655017168,935744,4Drive_Single
SKHynix_4Drive_Single,read,64k,1,6,4030.826807000,4.030826807,64493,4Drive_Single
SKHynix_4Drive_Single,read,64k,8,6,16800.0,16.8,268800,4Drive_Single
SKHynix_4Drive_Single,read,64k,32,6,27400.0,27.4,438400,4Drive_Single
SKHynix_4Drive_Single,read,64k,128,6,28200.0,28.2,451200,4Drive_Single
SKHynix_4Drive_Single,read,1m,1,6,18600.0,18.6,18600,4Drive_Single
SKHynix_4Drive_Single,read,1m,8,6,29300.0,29.3,29300,4Drive_Single
SKHynix_4Drive_Single,read,1m,32,6,29300.0,29.3,29300,4Drive_Single
SKHynix_4Drive_Single,read,1m,128,6,29300.0,29.3,29300,4Drive_Single
SKHynix_4Drive_Single,read,16m,1,6,29200.0,29.2,1825,4Drive_Single
SKHynix_4Drive_Single,read,16m,8,6,29300.0,29.3,1831,4Drive_Single
SKHynix_4Drive_Single,read,16m,32,6,29100.0,29.1,1818,4Drive_Single
SKHynix_4Drive_Single,read,16m,128,6,28500.0,28.5,1781,4Drive_Single
SKHynix_4Drive_Single,read,64m,1,6,29300.0,29.3,457,4Drive_Single
SKHynix_4Drive_Single,read,64m,8,6,29100.0,29.1,454,4Drive_Single
SKHynix_4Drive_Single,read,64m,32,6,28400.0,28.4,443,4Drive_Single
SKHynix_4Drive_Single,read,64m,128,6,26100.0,26.1,407,4Drive_Single
SKHynix_4Drive_Single,write,4k,1,6,625.991483000,.625991483,160264,4Drive_Single
SKHynix_4Drive_Single,write,4k,8,6,924.491710000,.924491710,236685,4Drive_Single
SKHynix_4Drive_Single,write,4k,32,6,957.777707000,.957777707,245206,4Drive_Single
SKHynix_4Drive_Single,write,4k,128,6,960.998932000,.960998932,246031,4Drive_Single
SKHynix_4Drive_Single,write,64k,1,6,6643.240665000,6.643240665,106291,4Drive_Single
SKHynix_4Drive_Single,write,64k,8,6,15900.0,15.9,254400,4Drive_Single
SKHynix_4Drive_Single,write,64k,32,6,17900.0,17.9,286400,4Drive_Single
SKHynix_4Drive_Single,write,64k,128,6,19600.0,19.6,313600,4Drive_Single
SKHynix_4Drive_Single,write,1m,1,6,17100.0,17.1,17100,4Drive_Single
SKHynix_4Drive_Single,write,1m,8,6,25700.0,25.7,25700,4Drive_Single
SKHynix_4Drive_Single,write,1m,32,6,27000.0,27.0,27000,4Drive_Single
SKHynix_4Drive_Single,write,1m,128,6,27000.0,27.0,27000,4Drive_Single
SKHynix_4Drive_Single,write,16m,1,6,22600.0,22.6,1412,4Drive_Single
SKHynix_4Drive_Single,write,16m,8,6,23900.0,23.9,1493,4Drive_Single
SKHynix_4Drive_Single,write,16m,32,6,23900.0,23.9,1493,4Drive_Single
SKHynix_4Drive_Single,write,16m,128,6,24000.0,24.0,1500,4Drive_Single
SKHynix_4Drive_Single,write,64m,1,6,23200.0,23.2,362,4Drive_Single
SKHynix_4Drive_Single,write,64m,8,6,24200.0,24.2,378,4Drive_Single
SKHynix_4Drive_Single,write,64m,32,6,23800.0,23.8,371,4Drive_Single
SKHynix_4Drive_Single,write,64m,128,6,25200.0,25.2,393,4Drive_Single
