ArrayConfig,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS,ArrayType,Filesystem
WD_4Drive_Single,read,16m,1,6,28600.0,28.6,1787,4Drive_Single,Ext4
WD_4Drive_Single,read,16m,8,6,29200.0,29.2,1825,4Drive_Single,Ext4
WD_4Drive_Single,read,16m,32,6,28700.0,28.7,1793,4Drive_Single,Ext4
WD_4Drive_Single,read,16m,128,6,28400.0,28.4,1775,4Drive_Single,Ext4
WD_4Drive_Single,read,64m,1,6,28900.0,28.9,451,4Drive_Single,Ext4
WD_4Drive_Single,read,64m,8,6,28900.0,28.9,451,4Drive_Single,Ext4
WD_4Drive_Single,read,64m,32,6,28500.0,28.5,445,4Drive_Single,Ext4
WD_4Drive_Single,read,64m,128,6,26300.0,26.3,410,4Drive_Single,Ext4
WD_4Drive_Single,write,4k,1,6,860.067201000,.860067201,220191,4Drive_Single,Ext4
WD_4Drive_Single,write,4k,8,6,1490.353651000,1.490353651,381554,4Drive_Single,Ext4
WD_4Drive_Single,write,4k,32,6,1454.920171000,1.454920171,372483,4Drive_Single,Ext4
WD_4Drive_Single,write,4k,128,6,1506.459779000,1.506459779,385678,4Drive_Single,Ext4
WD_4Drive_Single,write,64k,1,6,7990.786654000,7.990786654,127852,4Drive_Single,Ext4
WD_4Drive_Single,write,64k,8,6,17700.0,17.7,283200,4Drive_Single,Ext4
WD_4Drive_Single,write,64k,32,6,19000.0,19.0,304000,4Drive_Single,Ext4
WD_4Drive_Single,write,64k,128,6,22900.0,22.9,366400,4Drive_Single,Ext4
WD_4Drive_Single,write,1m,1,6,18400.0,18.4,18400,4Drive_Single,Ext4
WD_4Drive_Single,write,1m,8,6,26500.0,26.5,26500,4Drive_Single,Ext4
WD_4Drive_Single,write,1m,32,6,22600.0,22.6,22600,4Drive_Single,Ext4
WD_4Drive_Single,write,1m,128,6,23000.0,23.0,23000,4Drive_Single,Ext4
WD_4Drive_Single,write,16m,1,6,23000.0,23.0,1437,4Drive_Single,Ext4
WD_4Drive_Single,write,16m,8,6,21900.0,21.9,1368,4Drive_Single,Ext4
WD_4Drive_Single,write,16m,32,6,22100.0,22.1,1381,4Drive_Single,Ext4
WD_4Drive_Single,write,16m,128,6,22200.0,22.2,1387,4Drive_Single,Ext4
WD_4Drive_Single,write,64m,1,6,15200.0,15.2,237,4Drive_Single,Ext4
WD_4Drive_Single,write,64m,8,6,23900.0,23.9,373,4Drive_Single,Ext4
WD_4Drive_Single,write,64m,32,6,22800.0,22.8,356,4Drive_Single,Ext4
WD_4Drive_Single,write,64m,128,6,23700.0,23.7,370,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,4k,1,6,1010.391056000,1.010391056,258676,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,4k,8,6,2767.032680000,2.767032680,708405,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,4k,32,6,3609.920012000,3.609920012,924198,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,4k,128,6,3547.642986000,3.547642986,908254,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64k,1,6,4008.278228000,4.008278228,64132,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64k,8,6,16800.0,16.8,268800,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64k,32,6,27300.0,27.3,436800,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64k,128,6,28600.0,28.6,457600,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,1m,1,6,18800.0,18.8,18800,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,1m,8,6,29300.0,29.3,29300,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,1m,32,6,29300.0,29.3,29300,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,1m,128,6,29200.0,29.2,29200,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,16m,1,6,29100.0,29.1,1818,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,16m,8,6,29200.0,29.2,1825,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,16m,32,6,29100.0,29.1,1818,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,16m,128,6,28500.0,28.5,1781,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64m,1,6,29300.0,29.3,457,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64m,8,6,29100.0,29.1,454,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64m,32,6,28400.0,28.4,443,4Drive_Single,Ext4
SKHynix_4Drive_Single,read,64m,128,6,26100.0,26.1,407,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,4k,1,6,641.023868000,.641023868,164112,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,4k,8,6,1743.756722000,1.743756722,446430,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,4k,32,6,1752.346656000,1.752346656,448629,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,4k,128,6,1461.362622000,1.461362622,374132,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64k,1,6,6628.208279000,6.628208279,106051,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64k,8,6,16900.0,16.9,270400,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64k,32,6,19300.0,19.3,308800,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64k,128,6,21500.0,21.5,344000,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,1m,1,6,17200.0,17.2,17200,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,1m,8,6,26000.0,26.0,26000,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,1m,32,6,27000.0,27.0,27000,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,1m,128,6,27100.0,27.1,27100,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,16m,1,6,20400.0,20.4,1275,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,16m,8,6,24100.0,24.1,1506,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,16m,32,6,23800.0,23.8,1487,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,16m,128,6,24400.0,24.4,1525,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64m,1,6,15000.0,15.0,234,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64m,8,6,24000.0,24.0,375,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64m,32,6,24000.0,24.0,375,4Drive_Single,Ext4
SKHynix_4Drive_Single,write,64m,128,6,25800.0,25.8,403,4Drive_Single,Ext4
