DriveType,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS
Intel_Optane_32GB,read,64m,32,6,5424.543694000,5.424543694,0
Intel_Optane_32GB,read,64m,128,6,5427.764920000,5.427764920,0
Intel_Optane_32GB,write,4k,1,6,228.707008000,.228707008,0
Intel_Optane_32GB,write,4k,8,6,599.147937000,.599147937,0
Intel_Optane_32GB,write,4k,32,6,824.633720000,.824633720,0
Intel_Optane_32GB,write,4k,128,6,856.845975000,.856845975,0
Intel_Optane_32GB,write,64k,1,6,846.108557000,.846108557,0
Intel_Optane_32GB,write,64k,8,6,922.344226000,.922344226,0
Intel_Optane_32GB,write,64k,32,6,920.196743000,.920196743,0
Intel_Optane_32GB,write,64k,128,6,913.754292000,.913754292,0
Intel_Optane_32GB,write,1m,1,6,912.680550000,.912680550,0
Intel_Optane_32GB,write,1m,8,6,909.459324000,.909459324,0
Intel_Optane_32GB,write,1m,32,6,910.533066000,.910533066,0
Intel_Optane_32GB,write,1m,128,6,908.385583000,.908385583,0
Intel_Optane_32GB,write,16m,1,6,907.311841000,.907311841,0
Intel_Optane_32GB,write,16m,8,6,906.238099000,.906238099,0
Intel_Optane_32GB,write,16m,32,6,908.385583000,.908385583,0
Intel_Optane_32GB,write,16m,128,6,906.238099000,.906238099,0
Intel_Optane_32GB,write,64m,1,6,905.164357000,.905164357,0
Intel_Optane_32GB,write,64m,8,6,906.238099000,.906238099,0
Intel_Optane_32GB,write,64m,32,6,904.090615000,.904090615,0
Intel_Optane_32GB,write,64m,128,6,908.385583000,.908385583,0
SKHynix_2TB,read,4k,1,6,1031.865892000,1.031865892,0
SKHynix_2TB,read,4k,8,6,2787.433775000,2.787433775,0
SKHynix_2TB,read,4k,32,6,3662.533361000,3.662533361,0
SKHynix_2TB,read,4k,128,6,3718.367936000,3.718367936,0
SKHynix_2TB,read,64k,1,6,4042.637967000,4.042637967,0
SKHynix_2TB,read,64k,8,6,16800.0,16.8,0
SKHynix_2TB,read,64k,32,6,27600.0,27.6,0
SKHynix_2TB,read,64k,128,6,28600.0,28.6,0
SKHynix_2TB,read,1m,1,6,19000.0,19.0,0
SKHynix_2TB,read,1m,8,6,29300.0,29.3,0
SKHynix_2TB,read,1m,32,6,29400.0,29.4,0
SKHynix_2TB,read,1m,128,6,29300.0,29.3,0
SKHynix_2TB,read,16m,1,6,29200.0,29.2,0
SKHynix_2TB,read,16m,8,6,29300.0,29.3,0
SKHynix_2TB,read,16m,32,6,29100.0,29.1,0
SKHynix_2TB,read,16m,128,6,28500.0,28.5,0
SKHynix_2TB,read,64m,1,6,29300.0,29.3,0
SKHynix_2TB,read,64m,8,6,29100.0,29.1,0
SKHynix_2TB,read,64m,32,6,28500.0,28.5,0
SKHynix_2TB,read,64m,128,6,26200.0,26.2,0
SKHynix_2TB,write,4k,1,6,623.843999000,.623843999,0
SKHynix_2TB,write,4k,8,6,945.966546000,.945966546,0
SKHynix_2TB,write,4k,32,6,965.293899000,.965293899,0
SKHynix_2TB,write,4k,128,6,968.515125000,.968515125,0
SKHynix_2TB,write,64k,1,6,6620.692086000,6.620692086,0
SKHynix_2TB,write,64k,8,6,15800.0,15.8,0
SKHynix_2TB,write,64k,32,6,18200.0,18.2,0
SKHynix_2TB,write,64k,128,6,20000.0,20.0,0
SKHynix_2TB,write,1m,1,6,17500.0,17.5,0
SKHynix_2TB,write,1m,8,6,25900.0,25.9,0
SKHynix_2TB,write,1m,32,6,27000.0,27.0,0
SKHynix_2TB,write,1m,128,6,27000.0,27.0,0
SKHynix_2TB,write,16m,1,6,22700.0,22.7,0
SKHynix_2TB,write,16m,8,6,24000.0,24.0,0
SKHynix_2TB,write,16m,32,6,23800.0,23.8,0
SKHynix_2TB,write,16m,128,6,24900.0,24.9,0
SKHynix_2TB,write,64m,1,6,23800.0,23.8,0
SKHynix_2TB,write,64m,8,6,23900.0,23.9,0
SKHynix_2TB,write,64m,32,6,24400.0,24.4,0
SKHynix_2TB,write,64m,128,6,26100.0,26.1,0
