DriveType,Operation,BlockSize,QueueDepth,NumJobs,Bandwidth_MBps,Bandwidth_GBps,IOPS
SKHynix_2TB,read,4k,1,6,1031.865892,1.031865892,264157
SKHynix_2TB,read,4k,8,6,2787.433775,2.787433775,713583
SKHynix_2TB,read,4k,32,6,3662.533361,3.662533361,937608
SKHynix_2TB,read,4k,128,6,3718.367936,3.718367936,951902
SKHynix_2TB,read,64k,1,6,4042.637967,4.042637967,64682
SKHynix_2TB,read,64k,8,6,16800.0,16.8,268800
SKHynix_2TB,read,64k,32,6,27600.0,27.6,441600
SKHynix_2TB,read,64k,128,6,28600.0,28.6,457600
SKHynix_2TB,read,1m,1,6,19000.0,19.0,19000
SKHynix_2TB,read,1m,8,6,29300.0,29.3,29300
SKHynix_2TB,read,1m,32,6,29400.0,29.4,29400
SKHynix_2TB,read,1m,128,6,29300.0,29.3,29300
SKHynix_2TB,read,16m,1,6,29200.0,29.2,1825
SKHynix_2TB,read,16m,8,6,29300.0,29.3,1831
SKHynix_2TB,read,16m,32,6,29100.0,29.1,1818
SKHynix_2TB,read,16m,128,6,28500.0,28.5,1781
SKHynix_2TB,read,64m,1,6,29300.0,29.3,457
SKHynix_2TB,read,64m,8,6,29100.0,29.1,454
SKHynix_2TB,read,64m,32,6,28500.0,28.5,445
SKHynix_2TB,read,64m,128,6,26200.0,26.2,409
SKHynix_2TB,write,4k,1,6,623.843999,0.623843999,159704
SKHynix_2TB,write,4k,8,6,945.966546,0.945966546,242167
SKHynix_2TB,write,4k,32,6,965.293899,0.965293899,247115
SKHynix_2TB,write,4k,128,6,968.515125,0.968515125,247939
SKHynix_2TB,write,64k,1,6,6620.692086,6.620692086,105931
SKHynix_2TB,write,64k,8,6,15800.0,15.8,252800
SKHynix_2TB,write,64k,32,6,18200.0,18.2,291200
SKHynix_2TB,write,64k,128,6,20000.0,20.0,320000
SKHynix_2TB,write,1m,1,6,17500.0,17.5,17500
SKHynix_2TB,write,1m,8,6,25900.0,25.9,25900
SKHynix_2TB,write,1m,32,6,27000.0,27.0,27000
SKHynix_2TB,write,1m,128,6,27000.0,27.0,27000
SKHynix_2TB,write,16m,1,6,22700.0,22.7,1418
SKHynix_2TB,write,16m,8,6,24000.0,24.0,1500
SKHynix_2TB,write,16m,32,6,23800.0,23.8,1487
SKHynix_2TB,write,16m,128,6,24900.0,24.9,1556
SKHynix_2TB,write,64m,1,6,23800.0,23.8,371
SKHynix_2TB,write,64m,8,6,23900.0,23.9,373
SKHynix_2TB,write,64m,32,6,24400.0,24.4,381
SKHynix_2TB,write,64m,128,6,26100.0,26.1,407
